lsid,highway
430417622,secondary
430417625,secondary
430417627,secondary
430417630,residential
430417635,platform
430417637,platform
430417639,platform
430417641,platform
430417643,platform
430417645,platform
430417647,platform
430417649,platform
430417650,footway
430417652,footway
430417659,footway
430417662,footway
430417664,footway
430417665,footway
430417668,footway
430417669,footway
430417671,footway
430417673,footway
430417675,footway
430417676,footway
430417700,footway
430417702,footway
430417705,footway
430417707,footway
430417709,footway
430417711,footway
430417712,footway
430432899,service
430432901,service
430432902,service
430432903,unclassified
430532916,service
430532917,service
430532918,service
430532919,service
430532920,service
430532921,service
430532922,service
430532923,service
430532924,service
430532925,service
430637232,tertiary
430637233,tertiary
430637234,cycleway
430637235,cycleway
430637236,primary
430637248,platform
430637249,platform
430637251,platform
430637252,platform
430637262,platform
430637273,platform
430637274,platform
430637281,service
430637282,service
430637283,service
430637285,cycleway
430637321,service
430757164,tertiary
430757165,platform
430757167,tertiary
430846403,residential
430846405,trunk_link
430846406,trunk
430846407,trunk_link
430846408,trunk_link
430846409,trunk
430846426,service
430846429,motorway_link
430846436,motorway_link
430846443,secondary
430846455,motorway
430846458,motorway
430846461,path
430846464,trunk
430846469,bus_guideway
430846471,service
430846472,secondary
430846473,trunk
430846474,motorway_link
430846475,motorway
430846476,secondary
430846477,trunk
430846478,service
430846479,motorway_link
430846480,path
430935568,pedestrian
430936206,pedestrian
431031990,footway
431035065,footway
431409219,steps
431409220,living_street
431409221,residential
431409222,service
431409223,service
431532387,service
431532388,service
431532390,residential
431532391,service
431532392,service
431576786,pedestrian
431702568,residential
431702570,residential
431702571,residential
431702572,residential
431706361,footway
431706362,footway
431706364,footway
431706365,footway
431706366,footway
431907251,service
431907252,service
431907253,service
431907254,service
431907255,service
431907256,service
431907257,path
431907258,steps
431907259,path
431907260,service
431907261,service
431907262,service
431907264,service
431907266,path
431907269,path
431983703,footway
431983712,residential
431983713,residential
431983714,secondary
431983715,secondary
431983716,footway
431983719,primary
431983720,primary
431983721,primary
431983722,primary
431983724,footway
431983725,footway
431983728,primary
431983731,primary
431983734,primary
431983788,footway
431983789,footway
431983790,steps
431983792,footway
431983793,footway
431983794,footway
431983795,footway
431983796,footway
431983797,footway
431983798,footway
431983799,footway
431983800,footway
431983801,footway
431983802,footway
431983806,pedestrian
431983809,cycleway
431983811,residential
431983813,footway
431983816,footway
431983817,footway
431983819,footway
431983821,residential
431983822,residential
431983823,footway
431983824,residential
431983825,footway
431983827,footway
431983828,footway
431983833,footway
431983834,footway
431983835,service
431983837,footway
431983838,unclassified
431983840,footway
431983841,service
431983843,footway
432098627,residential
432098632,residential
432098638,residential
432098644,residential
432098655,tertiary
432098660,service
432098662,tertiary
432098668,tertiary
432098791,service
