174614060,footway
174614087,footway
174767744,residential
174769081,residential
174799773,unclassified
174802351,primary
174802352,primary
174802353,service
174802355,service
174802360,service
174814677,residential
174814678,service
175553223,service
175553224,service
175608957,footway
175608960,steps
175608961,footway
175608962,footway
175774782,tertiary
175778189,residential
175802595,footway
175865329,service
175865330,service
175866038,pedestrian
175930602,footway
175931547,footway
176071651,footway
176234172,footway
176234173,service
176293666,pedestrian
176293667,pedestrian
176293668,pedestrian
176293669,pedestrian
176293670,pedestrian
176293671,pedestrian
176293672,pedestrian
176306533,footway
176345051,footway
176345053,footway
219740029,footway
219740030,footway
219740031,footway
219740032,footway
219830655,residential
219830656,primary
219837898,secondary
219837899,secondary
219837900,secondary
219837901,secondary
219837902,secondary
219837903,secondary
219837904,primary
219837905,residential
219837906,service
219962564,cycleway
219962565,cycleway
219962566,residential
219962567,residential
220011101,footway
220011103,footway
220011105,footway
220090113,footway
220146603,footway
220146604,footway
220146606,footway
220149427,footway
220149428,footway
220149429,footway
220149430,footway
220149431,footway
220149432,footway
220149433,footway
220149434,footway
220149435,footway
220154680,footway
220154681,footway
220154682,footway
220154683,footway
220154684,footway
220154685,footway
220154686,footway
220154687,footway
220335497,secondary
220335499,residential
220362132,service
220362133,service
220362134,service
220362135,service
220369633,footway
220369634,footway
220369636,footway
220369637,service
220369638,footway
220369639,footway
220392790,pedestrian
220405054,cycleway
220405060,cycleway
220405064,residential
220408688,path
220419236,footway
220419238,service
220421563,footway
220421564,steps
220421565,footway
220421566,footway
220421567,footway
220421569,footway
220423647,footway
220442411,pedestrian
220442415,pedestrian
220442418,pedestrian
220462085,service
220462086,footway
220504769,footway
220510575,footway
220510576,footway
220511342,footway
220511343,footway
220522042,footway
220522043,footway
220522045,steps
220535298,footway
220535300,footway
220535301,footway
220535302,footway
220537256,footway
220537257,footway
220538946,path
220544848,pedestrian
220544849,residential
220545243,footway
220548170,pedestrian
220549905,footway
220549906,footway
220606895,footway
220606896,steps
220636397,footway
220636400,footway
220636401,footway
220636403,footway
220636405,footway
220636407,footway
220636410,footway
220636412,footway
220636414,footway
220636416,footway
220636418,steps
220636422,footway
220656855,residential
220656856,residential
220656857,path
220656858,tertiary
220658009,residential
220658010,tertiary
220666389,living_street
220668576,footway
220738329,pedestrian
220851313,footway
220851314,footway
220851315,footway
220918431,footway
220918432,footway
221071437,residential
221071438,residential
221071444,service
221071445,service
221071447,service
221071448,service
221071449,service
221071450,service
221071451,service
221071453,service
221071454,service
221071455,service
221071456,service
221071457,service
221071458,service
221071459,service
221089504,tertiary
221089507,pedestrian
221089508,footway
221089509,footway
221089512,footway
221089513,service
221089515,service
221095164,footway
221095166,footway
221095167,footway
221095381,residential
221095382,residential
221095386,residential
221095387,footway
221095388,footway
221095389,footway
221095390,steps
221095391,steps
221095392,steps
221095393,footway
221095394,footway
221095395,service
221095396,service
221095397,service
221126363,primary
221126364,residential
221126365,residential
221134919,footway
221248692,track
221349968,path
221349971,residential
221356380,cycleway
221356381,cycleway
221367021,footway
221367022,service
221392740,service
221392741,footway
221392744,service
221392745,service
221392747,service
221392759,service
221417620,service
221417621,service
221417622,service
221417623,service
221432970,pedestrian
221486969,service
221486970,service
221486971,service
221489246,service
221489247,service
221489250,service
221489256,service
221489259,service
221489260,service
221494644,service
221494645,service
221510338,service
221510340,footway
221586668,pedestrian
221586669,residential
221586670,living_street
221617958,service
221657687,tertiary
221696648,footway
221696650,service
221696651,footway
571964705,residential
571978632,pedestrian
571978633,footway
571978634,footway
571978635,footway
571978636,footway
571978637,footway
571978638,footway
571987158,cycleway
571987159,cycleway
571987160,residential
571987162,cycleway
571987163,cycleway
571987164,footway
571987165,footway
571993008,residential
571999627,footway
571999628,steps
571999629,footway
571999631,footway
571999632,steps
571999635,footway
571999636,footway
571999637,steps
571999638,footway
571999639,steps
571999640,footway
572002312,residential
572002314,residential
572002317,residential
572002320,residential
572002322,residential
572002326,residential
572010374,pedestrian
572010375,secondary
572010376,residential
572010377,primary
572010378,residential
572010379,primary
572010380,primary
572010381,service
572350968,footway
572413547,service
572437192,service
572449416,footway
572449417,steps
572449418,footway
572449419,footway
572449421,footway
572449422,residential
572449423,footway
572449424,steps
572449426,footway
572449427,footway
572449429,footway
572449430,footway
572449431,footway
572454905,footway
572454906,footway
572454907,footway
572454908,tertiary
572461687,footway
572461688,footway
572518381,service
572518383,residential
572518384,footway
572518387,secondary
572518389,secondary
572518391,tertiary
572518393,tertiary
572518395,service
572518398,service
572518399,tertiary
572518401,service
572518403,service
572518405,service
572781857,primary
572781858,primary
572803530,service
572803531,service
572803532,cycleway
572803533,cycleway
572803534,cycleway
572803536,footway
572840513,cycleway
572849332,residential
572849333,residential
572913878,tertiary
572913880,tertiary
572913883,tertiary
573030631,footway
573168131,cycleway
573168132,cycleway
573168133,cycleway
573168134,cycleway
573168135,cycleway
573168136,cycleway
573168137,cycleway
573168138,cycleway
573180086,track
573212733,cycleway
573212734,pedestrian
573212735,cycleway
573306181,footway
573306182,footway
573306183,pedestrian
573306184,steps
573306185,pedestrian
573306186,steps
573308764,service
573308765,service
573308766,service
573308767,service
573361680,service
573577557,residential
573577558,residential
573577559,residential
573577560,service
573577561,residential
573577562,residential
573577563,service
573577564,service
573577565,service
573577566,residential
573577567,residential
573577568,secondary
573814820,residential
573814821,residential
573925959,service
574197005,path
574197006,track
574197007,bridleway
574202899,secondary
574202900,secondary
574202901,service
574202902,service
574325187,pedestrian
574335116,service
574335118,pedestrian
574335121,pedestrian
574335124,service
574340357,steps
574586187,path
574590304,footway
574590305,footway
574590307,steps
574590308,steps
574590309,footway
574681654,secondary
574681655,footway
574683223,footway
574683224,footway
574683226,footway
574785838,footway
575047168,track
575047169,path
575047170,track
575116465,residential
575220162,pedestrian
575220163,pedestrian
575220164,steps
575239101,pedestrian
575241089,service
575241803,steps
575241805,service
575241806,path
575243034,service
575244099,footway
575244100,footway
575244101,footway
575244102,footway
575283375,pedestrian
575283378,service
575284527,pedestrian
575284528,pedestrian
575284529,footway
575293001,pedestrian
575323768,footway
575323769,steps
575326087,pedestrian
575329222,steps
575356223,footway
575356224,footway
575357626,footway
575361895,footway
575361896,footway
575361897,steps
575361898,footway
575373045,service
575373046,service
575491592,primary
575491593,primary
575491594,cycleway
575620166,service
575685802,residential
575857989,service
575857990,service
575857991,service
575996470,primary
575996471,primary
576036512,primary
576038132,cycleway
576038133,path
576038134,cycleway
576052749,footway
576052750,steps
576080583,path
576080585,path
576081535,path
576370042,pedestrian
576370045,trunk_link
576370046,trunk_link
576370049,footway
576380420,residential
576429475,residential
576429476,pedestrian
576429478,steps
576429479,pedestrian
576429480,pedestrian
576429481,living_street
576429482,living_street
576429483,living_street
576429484,living_street
576429485,residential
576429486,living_street
576429487,living_street
576429488,living_street
576429489,living_street
576447176,residential
576673713,path
576673714,path
576673715,path
576673716,footway
576673717,path
576673718,path
576673724,footway
576703799,path
